title,md_id,markable,marked,missing
Giant Killing,3b6c3a0b-8752-41fc-9d3e-1310f6f28252,0,0,unknown
Isekai Kenja no Tensei Musou: Game no Chishiki de Isekai Saikyou,3d3dda69-7387-4732-b114-e4bb3de67180,0,0,unknown
Rooftop Sword Master,38dc5832-4714-4467-9c7e-fc9689fb149c,0,0,unknown
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru ~Level Up wa Jinsei wo Kaeta~",37838287-3fe9-443d-9d22-eafc1089140e,29,0,9
"Mamono wo Shitagaeru ""Teiin"" wo Motsu Tensei Kenja ~Katsute no Mahou to Juuma de Hissori Saikyou no Boukensha ni Naru~",339a6d49-9cc3-4435-98b6-59ddec3a6c0d,0,0,unknown
I Parry Everything: What Do You Mean I'm the Strongest? I'm Not Even an Adventurer Yet!,42f62ab4-8fdb-4710-956d-999e3c55f7ad,18,0,3
Watashi no Kouguchi-Sensei,462a3593-d4c6-4801-9bae-f4eb43a14f84,0,0,unknown
The Beloved Little Princess,412ab8fe-eca9-47c9-8f5c-f6deb75622e9,0,0,unknown
Treacherous Subject Saves the Country,342ba114-04bd-4657-8094-6d3feb51c811,0,0,unknown
Drama Writer Who Reads Spoilers,425d693d-4ecb-4354-9766-15f8e2fc2c72,0,0,unknown
Would You Like to Sign the Contract?,3566cc4c-c542-4e13-85d4-6a5a37bcef7e,23,0,31
A Villainess for the Tyrant,35bcd675-104e-4697-8285-710f6de385c5,0,0,unknown
The Undefeatable Swordsman,3d3bd464-2004-483c-af4f-3cfbe70cf73e,0,0,unknown
Heavenly Demon Reborn!,3f38adf6-145c-4a04-b220-1ed8b5a20b55,0,0,unknown
"I'm Glad They Kicked Me from the Hero's Party… but Why're You Following Me, Great Saintess?",43c1fcbc-5196-4fe8-98db-0ddbc90c41bb,0,0,unknown
Fumetsu no Anata e,34e45b02-b5c8-4a4b-a21a-7b5059391dc8,0,0,unknown
Nigoru Hitomi de Nani wo Negau - Highserk Senki,418be4a0-a376-4a7e-aa34-51576b2e6fa7,0,0,10
Kamitachi ni Hirowareta Otoko,4187856d-65a9-4fb4-98ec-84c0bf16631f,0,0,unknown
"Mahoushi ni Noranai Ijin – Mueki na Kenkyuuda to Mahoushou wo Kaikosareta Tame, Shin Mahou no Kenri wa Dokusen datta",34e711b6-a43f-4c70-9012-4b70d78aa6e1,0,0,unknown
Emperor With an Inconceivable Heart,44fb58e1-9cb9-4406-814b-1e1609a137af,0,0,unknown
My Uncle Is a Superstar,44a6fdce-3bb8-4c6a-9e77-1571edbf7f9d,3,0,34
Ossan Boukensha Kane no Zenkou,40dc36d1-2f92-4b46-a69a-9728d5815e7d,0,0,unknown
When the Villainess Is in Love,4106c8cb-7917-41c5-bd55-072f6687076d,0,0,38
"GATE - Jieitai Kanochi nite, Kaku Tatakaeri",3b8e4dc5-bffa-4382-a23c-be97c44ab4e2,53,0,1
Overgeared,3fc308c9-4b00-4dc3-943e-1f39242bc708,0,0,unknown
I Became the Villain's Mother,46d26d3b-4165-485c-bd6a-a47366810255,3,0,49
Realization of Justice,48175145-c317-4658-b719-74b81f9a9db9,0,0,unknown
I'm the Only One With Genius DNA,4fb38bea-7ead-4b24-86d2-9d2cce43237a,0,0,unknown
The Lady's Law of Survival,511d0530-d743-431b-be39-842065d4d011,0,0,unknown
Am I Your Daughter?,49cdb2d0-8f93-4307-881f-0dea243d4da8,49,0,4
Wandance,553d4b8f-9ab9-4711-8ed2-ef337d8e7923,0,0,unknown
"Sono Rettou Kishi, Level 999",51dfc353-4047-4e56-986c-eee230c15981,0,0,unknown
Dark Hunter,58663edf-77aa-47e3-99a7-3a2705f2b389,0,0,unknown
Tada Shiawasena Isekai Kazoku Seikatsu,54016980-802d-4780-b964-23ee03891b6d,0,0,unknown
The Genius Spirited Streamer,56b74325-7c41-4ad8-bbb2-480259192616,10,0,1
The Monstrous Duke's Adopted Daughter,50fc2f0f-aeac-4152-82ba-164b3bb3b5b3,0,0,unknown
The Soulless Duchess,4e8f9100-1a9d-493d-b6ef-9cfaed991594,48,0,16
I Am the Real One,48d231af-d0cd-4f1e-a1e2-9d1a7aa91a6a,17,0,2
The Reborn Young Lord Is an Assassin,49c09cc3-6e2d-458f-9a54-7fa5ecae1f6f,37,0,2
"Isekai ni Kyuuseishu to shite Yobaremashita ga, Around 30 ni wa Muri na no de, hissori Book Café Hajimemashita",5353e8c5-8a6c-402a-895b-0d09feec17d4,0,0,unknown
SSS-Class Revival Hunter,4a973243-952e-44d7-a50f-883b4b7c9cc2,0,0,76
World's Strongest Invalid Swordsman,4cb3d22f-83f8-410b-b567-6eea77f20bfc,0,0,unknown
This Life as a Villain,57f6ab6b-1d6b-4196-a130-3f0987a516e1,0,0,unknown
Face Genius,4a210d67-ea18-4497-8ba3-0d5537a63b3e,0,0,20
Again My Life,49d582ec-f052-484c-9cd2-43337fba6d13,0,0,unknown
Top Star’s Talent Library,4d92082f-e5ac-4b38-a73f-5c190d9f38f8,0,0,unknown
Limit Breaker,4b2e5feb-6137-4be9-a73d-add5e27263e7,0,0,29
I Adopted a Villainous Dad,559679c2-e798-4feb-97b4-b4da0b44f848,0,0,unknown
"Good Luck, Hero!",4770ee67-cceb-4f16-b1a3-8262937118c5,0,0,unknown
"I Was Summoned to Be a Saint, but Was Robbed of the Position",4d73682d-ea8e-4b73-b90b-11006b051fb5,0,0,unknown
Next Life,4eaa6fad-5934-4311-8128-e32d900564b0,47,0,1
NEET dakedo Hello Work ni Ittara Isekai ni Tsuretekareta,4d4db0c2-3c43-45c8-aac1-af2af63e85ff,39,0,1
Kouchuugun Shikan Boukensha ni Naru,48221bce-0fd2-4519-b5f3-4fdc1921007b,30,0,6
The Former Top 1's Sub-Character Training Diary: A Dedicated Player is Currently Conquering Another World!,4754fc66-6bcb-4cc3-98ec-10f585cc55f3,46,0,1
Vigilante,51b8571f-7277-4e48-b6e5-58c3ebca1143,0,0,unknown
The Genius Actor Who Brings Misfortune,4efcfd24-7fb0-43e5-9ddd-2fd5fefb1492,0,0,unknown
The Terminally Ill Young Master of the Baek Clan,55035e2c-154f-43c5-be27-7f649bb210e6,0,0,33
I Was Tricked Into This Fake Marriage!,4edf7a55-a118-49d3-a010-6201af9d9eb1,0,0,unknown
This Life's Universal Superstar,49ccb19e-34e9-40d4-a53e-cdb48360b351,66,0,5
"Sexiled: My Sexist Party Leader Kicked Me Out, So I Teamed Up with a Mythical Sorceress!",4aee683e-ad5f-4fdb-a803-b873a806a28c,0,0,unknown
Murabito desu ga Nani ka?,5283351f-a4e3-4699-af58-021864b5e062,49,0,1
"The Girl, the Shovel, and the Evil Eye",57b8b608-1026-4cab-ad6a-28d796eca663,0,0,unknown
Medalist,4a433d6b-f51a-4c2f-a183-85419fe98efc,0,0,43
The Heavenly Demon Destroys the Lich King's Murim,5f848c5e-337f-4f5c-86b5-8e4b76842f8e,0,0,unknown
Neolithic Girl,64e87c04-821e-4bc0-a091-cab9b0ac0901,0,0,unknown
The Careful Empress,67610344-3511-4f5c-b13e-d4a6db395439,0,0,unknown
The Sword of Glory,626300e2-21de-4aa0-917a-dedbccdceb22,3,0,48
Masaki no Pan,69ed0239-89da-47ab-9188-4d69b5257c08,0,0,unknown
